Student_ID,Age,Gender,Branch,Graduation_Year,CGPA,LeetCode_Problems,DSA_Level,GitHub_Repositories,Open_Source_Contribution,Total_Projects,Major_Project_Level,AI_ML_Projects,Deployment_Experience,Internship_Count,Internship_Domain,Python_Level,SQL_Level,PowerBI_Level,MachineLearning_Level,Statistics_Level,DeepLearning_Level,LinkedIn_Profile,GitHub_Profile,Portfolio_Website,Industry_Certifications,Communication_Level,Target_Role,Preferred_Domain,Placement_Score,Placement_Status
1001,23,Male,CSE,2027,5.89,218,Intermediate,6,Yes,4,Intermediate,3,Yes,0,None,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Beginner,Yes,Yes,No,1,Excellent,Data Analyst,Data Analytics,48.55,Placed
1002,24,Male,CSE,2025,6.58,81,Beginner,2,No,4,Intermediate,2,Yes,1,Data Analytics,Beginner,Intermediate,Advanced,Beginner,Intermediate,Beginner,Yes,Yes,No,1,Average,Data Scientist,Data Science,38.67,Not Placed
1003,22,Female,AI/ML,2028,7.35,22,Beginner,1,No,1,Basic,1,No,0,None,Beginner,Intermediate,None,None,Beginner,Beginner,Yes,Yes,No,5,Good,Data Engineer,Data Engineering,28.43,Not Placed
1004,24,Male,AI/ML,2026,6.61,55,Beginner,6,Yes,4,Intermediate,3,No,1,Cybersecurity,Advanced,Intermediate,Intermediate,Beginner,Beginner,Beginner,Yes,Yes,No,4,Good,AI Engineer,AI/ML,42.54,Placed
1005,24,Male,CSE,2027,6.68,249,Intermediate,6,No,2,Intermediate,2,Yes,1,Data Analytics,Intermediate,Advanced,None,Beginner,Advanced,Intermediate,No,Yes,No,1,Good,Data Analyst,Data Analytics,46.7,Placed
1006,21,Male,AI/ML,2027,7.15,381,Advanced,5,No,4,Intermediate,4,Yes,1,AI/ML,Intermediate,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Yes,Yes,No,6,Excellent,Data Engineer,Data Engineering,57.72,Placed
1007,22,Male,CSE,2028,8.15,387,Advanced,2,No,0,Basic,0,No,0,None,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Advanced,Yes,Yes,No,4,Excellent,Data Scientist,Data Science,49.1,Not Placed
1008,22,Male,ECE,2025,7.16,85,Beginner,4,No,3,Intermediate,1,No,1,Web Development,Intermediate,Intermediate,None,Intermediate,Advanced,Beginner,Yes,Yes,Yes,0,Average,Data Analyst,Data Analytics,38.99,Not Placed
1009,22,Male,CSE,2027,8.58,114,Intermediate,5,No,3,Intermediate,0,Yes,2,Web Development,Intermediate,Beginner,None,Intermediate,Intermediate,None,Yes,Yes,No,7,Average,Machine Learning Engineer,AI/ML,49.57,Placed
1010,24,Male,ECE,2027,6.5,95,Beginner,7,Yes,3,Intermediate,0,No,0,None,Beginner,Intermediate,Intermediate,Beginner,Advanced,Advanced,Yes,Yes,No,6,Good,Data Engineer,Data Engineering,40.92,Not Placed
1011,23,Female,ECE,2028,6.25,131,Intermediate,8,No,4,Intermediate,1,No,2,Cloud,Intermediate,Beginner,None,Beginner,Intermediate,Intermediate,Yes,Yes,No,2,Poor,Data Engineer,Data Engineering,40.17,Not Placed
1012,22,Female,AI/ML,2028,9.43,39,Beginner,6,No,3,Intermediate,2,Yes,0,None,Intermediate,Advanced,Beginner,Beginner,Intermediate,Beginner,Yes,Yes,Yes,3,Average,Machine Learning Engineer,AI/ML,42.84,Placed
1013,24,Female,IT,2025,6.84,87,Beginner,5,Yes,1,Basic,0,No,0,None,None,Intermediate,Beginner,Beginner,Intermediate,Intermediate,Yes,Yes,No,2,Average,Machine Learning Engineer,AI/ML,29.18,Not Placed
1014,21,Male,AI/ML,2026,6.19,154,Intermediate,8,No,6,Advanced,3,No,1,Data Analytics,Beginner,Intermediate,None,Beginner,Intermediate,Beginner,No,Yes,No,2,Average,Software Developer,Software Development,42.09,Not Placed
1015,23,Male,Data Science,2026,5.76,250,Intermediate,2,No,1,Basic,0,No,0,None,None,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,Yes,Yes,Yes,1,Excellent,Machine Learning Engineer,AI/ML,38.57,Placed
1016,21,Male,AI/ML,2025,8.58,164,Intermediate,5,No,3,Intermediate,1,Yes,1,Cloud,Intermediate,Beginner,None,Beginner,Advanced,Beginner,Yes,Yes,Yes,4,Good,AI Engineer,AI/ML,49.32,Not Placed
1017,23,Male,AI/ML,2026,7.16,110,Intermediate,10,No,3,Intermediate,2,No,0,None,Intermediate,Beginner,Beginner,Intermediate,Beginner,Intermediate,Yes,Yes,No,0,Good,Machine Learning Engineer,AI/ML,38.97,Not Placed
1018,24,Male,Data Science,2028,7.25,56,Beginner,5,No,5,Advanced,1,No,2,Data Analytics,Intermediate,Beginner,None,None,Intermediate,Intermediate,Yes,Yes,No,4,Excellent,Machine Learning Engineer,AI/ML,46.54,Placed
1019,20,Female,AI/ML,2028,7.34,260,Intermediate,6,No,6,Advanced,3,Yes,0,None,Intermediate,Intermediate,Intermediate,None,Advanced,None,No,Yes,No,3,Good,Machine Learning Engineer,AI/ML,49.08,Not Placed
